% This dataset consists of beer reviews from Beeradvocate. The data span a period of more than 10 years, including all ~1.5 million reviews up to November 2011. Each review includes ratings in terms of five "aspects": appearance, aroma, palate, taste, and overall impression. Reviews include product and user information, followed by each of these five ratings, and a plaintext review. We also have reviews from ratebeer.
@RELATION beer_reviews

@ATTRIBUTE brewery_id INTEGER
@ATTRIBUTE brewery_name STRING
@ATTRIBUTE review_time INTEGER
@ATTRIBUTE review_overall REAL
@ATTRIBUTE review_aroma REAL
@ATTRIBUTE review_appearance REAL
@ATTRIBUTE review_profilename STRING
@ATTRIBUTE beer_style STRING
@ATTRIBUTE review_palate REAL
@ATTRIBUTE review_taste REAL
@ATTRIBUTE beer_name STRING
@ATTRIBUTE beer_abv REAL
@ATTRIBUTE beer_beerid INTEGER

@DATA
10325,'Vecchio Birraio',1234817823,1.5,2.0,2.5,stcules,Hefeweizen,1.5,1.5,'Sausa Weizen',5.0,47986
10325,'Vecchio Birraio',1235915097,3.0,2.5,3.0,stcules,'English Strong Ale',3.0,3.0,'Red Moon',6.2,48213
10325,'Vecchio Birraio',1235916604,3.0,2.5,3.0,stcules,'Foreign / Export Stout',3.0,3.0,'Black Horse Black Beer',6.5,48215
10325,'Vecchio Birraio',1234725145,3.0,3.0,3.5,stcules,'German Pilsener',2.5,3.0,'Sausa Pils',5.0,47969
1075,'Caldera Brewing Company',1293735206,4.0,4.5,4.0,johnmichaelsen,'American Double / Imperial IPA',4.0,4.5,'Cauldron DIPA',7.7,64883
1075,'Caldera Brewing Company',1325524659,3.0,3.5,3.5,oline73,'Herbed / Spiced Beer',3.0,3.5,'Caldera Ginger Beer',4.7,52159
1075,'Caldera Brewing Company',1318991115,3.5,3.5,3.5,Reidrover,'Herbed / Spiced Beer',4.0,4.0,'Caldera Ginger Beer',4.7,52159
1075,'Caldera Brewing Company',1306276018,3.0,2.5,3.5,alpinebryant,'Herbed / Spiced Beer',2.0,3.5,'Caldera Ginger Beer',4.7,52159
1075,'Caldera Brewing Company',1290454503,4.0,3.0,3.5,LordAdmNelson,'Herbed / Spiced Beer',3.5,4.0,'Caldera Ginger Beer',4.7,52159
1075,'Caldera Brewing Company',1285632924,4.5,3.5,5.0,augustgarage,'Herbed / Spiced Beer',4.0,4.0,'Caldera Ginger Beer',4.7,52159
163,'Amstel Brouwerij B. V.',1010963392,3.0,2.0,3.0,fodeeoz,'Light Lager',2.5,2.5,'Amstel Light',3.5,436
1075,'Caldera Brewing Company',1283154365,5.0,5.0,4.0,MadeInOregon,'Herbed / Spiced Beer',4.0,4.0,'Caldera Ginger Beer',4.7,52159
1075,'Caldera Brewing Company',1277557990,4.0,4.0,4.0,rawthar,'Herbed / Spiced Beer',3.5,4.0,'Caldera Ginger Beer',4.7,52159
1075,'Caldera Brewing Company',1275779250,4.0,4.5,3.0,Halcyondays,'Herbed / Spiced Beer',2.5,3.0,'Caldera Ginger Beer',4.7,52159
1075,'Caldera Brewing Company',1273109020,3.5,4.0,3.0,RangerClegg,'Herbed / Spiced Beer',3.0,4.0,'Caldera Ginger Beer',4.7,52159
